"Date","Symbol","Contract","Time","Price","Volume"
"20170407","TX","201704","84500","9903","818"
"20170407","TX","201704","84500","9903","2"
"20170407","TX","201704","84500","9904","8"
"20170407","TX","201704","84500","9904","4"
"20170407","TX","201704","84500","9904","4"
"20170407","TX","201704","84500","9903","2"
"20170407","TX","201704","84500","9903","2"
"20170407","TX","201704","84500","9903","2"
"20170407","TX","201704","84500","9903","2"
"20170407","TX","201704","84500","9904","10"
"20170407","TX","201704","84500","9902","2"
"20170407","TX","201704","84500","9902","6"
"20170407","TX","201704","84500","9902","2"
"20170407","TX","201704","84500","9902","10"
"20170407","TX","201704","84500","9902","12"
"20170407","TX","201704","84500","9902","8"
"20170407","TX","201704","84500","9902","4"
"20170407","TX","201704","84500","9902","2"
"20170407","TX","201704","84500","9902","2"
"20170407","TX","201704","84500","9902","2"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9901","6"
"20170407","TX","201704","84500","9901","14"
"20170407","TX","201704","84500","9901","4"
"20170407","TX","201704","84500","9901","40"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","4"
"20170407","TX","201704","84500","9900","8"
"20170407","TX","201704","84500","9900","4"
"20170407","TX","201704","84500","9900","8"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9899","12"
"20170407","TX","201704","84500","9899","2"
"20170407","TX","201704","84500","9899","2"
"20170407","TX","201704","84500","9899","6"
"20170407","TX","201704","84500","9899","4"
"20170407","TX","201704","84500","9899","2"
"20170407","TX","201704","84500","9899","2"
"20170407","TX","201704","84500","9899","2"
"20170407","TX","201704","84500","9899","2"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","4"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9901","2"
"20170407","TX","201704","84500","9900","2"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","4"
"20170407","TX","201704","84500","9898","2"
"20170407","TX","201704","84500","9898","6"
"20170407","TX","201704","84500","9898","10"
"20170407","TX","201704","84500","9897","2"
"20170407","TX","201704","84500","9897","2"
"20170407","TX","201704","84500","9897","2"
"20170407","TX","201704","84500","9897","10"
"20170407","TX","201704","84500","9897","6"
"20170407","TX","201704","84500","9897","4"
"20170407","TX","201704","84500","9897","2"
"20170407","TX","201704","84500","9897","2"
"20170407","TX","201704","84500","9897","2"
"20170407","TX","201704","84500","9896","18"
"20170407","TX","201704","84500","9896","8"
"20170407","TX","201704","84500","9896","8"
"20170407","TX","201704","84500","9896","8"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","4"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","6"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","4"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","2"
"20170407","TX","201704","84500","9896","16"
"20170407","TX","201704","84500","9896","4"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","4"
"20170407","TX","201704","84500","9895","4"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","12"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","10"
"20170407","TX","201704","84500","9895","4"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","4"
"20170407","TX","201704","84500","9895","8"
"20170407","TX","201704","84500","9895","12"
"20170407","TX","201704","84500","9895","20"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","4"
"20170407","TX","201704","84500","9895","2"
"20170407","TX","201704","84500","9895","6"
"20170407","TX","201704","84500","9895","4"
"20170407","TX","201704","84500","9894","2"
"20170407","TX","201704","84500","9894","2"
"20170407","TX","201704","84500","9894","10"
"20170407","TX","201704","84500","9894","2"
"20170407","TX","201704","84500","9894","4"
"20170407","TX","201704","84500","9894","4"
"20170407","TX","201704","84500","9894","2"
"20170407","TX","201704","84500","9893","2"
"20170407","TX","201704","84500","9893","4"
"20170407","TX","201704","84500","9893","2"
"20170407","TX","201704","84500","9893","2"
