"DateTime","Open","High","Low","Close","Volume"
"2017-04-07T08:45:00",9903.0,9904.0,9892.0,9900.0,1608
"2017-04-07T08:45:01",9900.0,9900.0,9892.0,9894.0,244
"2017-04-07T08:45:02",9895.0,9901.0,9892.0,9901.0,188
"2017-04-07T08:45:03",9900.0,9904.0,9900.0,9904.0,140
"2017-04-07T08:45:04",9903.0,9904.0,9903.0,9903.0,116
"2017-04-07T08:45:05",9903.0,9904.0,9902.0,9904.0,148
"2017-04-07T08:45:06",9904.0,9905.0,9902.0,9902.0,114
"2017-04-07T08:45:07",9903.0,9904.0,9902.0,9904.0,104
"2017-04-07T08:45:08",9903.0,9904.0,9902.0,9903.0,62
"2017-04-07T08:45:09",9904.0,9905.0,9902.0,9904.0,106
"2017-04-07T08:45:10",9904.0,9905.0,9902.0,9903.0,160
"2017-04-07T08:45:11",9902.0,9903.0,9901.0,9901.0,58
"2017-04-07T08:45:12",9901.0,9901.0,9899.0,9901.0,146
"2017-04-07T08:45:13",9900.0,9900.0,9897.0,9897.0,84
"2017-04-07T08:45:14",9896.0,9897.0,9896.0,9897.0,52
"2017-04-07T08:45:15",9896.0,9898.0,9896.0,9898.0,154
"2017-04-07T08:45:16",9898.0,9900.0,9898.0,9899.0,50
"2017-04-07T08:45:17",9898.0,9898.0,9898.0,9898.0,8
"2017-04-07T08:45:18",9897.0,9897.0,9896.0,9897.0,48
"2017-04-07T08:45:19",9897.0,9897.0,9896.0,9897.0,180
"2017-04-07T08:45:20",9897.0,9897.0,9897.0,9897.0,12
"2017-04-07T08:45:21",9897.0,9899.0,9897.0,9899.0,34
"2017-04-07T08:45:22",9899.0,9899.0,9897.0,9898.0,56
"2017-04-07T08:45:23",9898.0,9898.0,9897.0,9897.0,6
"2017-04-07T08:45:24",9898.0,9899.0,9898.0,9898.0,42
"2017-04-07T08:45:25",9899.0,9899.0,9898.0,9899.0,10
"2017-04-07T08:45:26",9898.0,9899.0,9897.0,9897.0,22
"2017-04-07T08:45:27",9898.0,9899.0,9897.0,9897.0,18
"2017-04-07T08:45:28",9898.0,9898.0,9897.0,9897.0,24
"2017-04-07T08:45:29",9897.0,9898.0,9897.0,9898.0,4
"2017-04-07T08:45:30",9898.0,9898.0,9898.0,9898.0,2
"2017-04-07T08:45:31",9898.0,9899.0,9897.0,9899.0,28
"2017-04-07T08:45:32",9898.0,9898.0,9898.0,9898.0,2
"2017-04-07T08:45:33",9898.0,9899.0,9898.0,9899.0,18
"2017-04-07T08:45:34",9899.0,9899.0,9899.0,9899.0,4
"2017-04-07T08:45:35",9899.0,9899.0,9899.0,9899.0,4
"2017-04-07T08:45:36",9899.0,9899.0,9899.0,9899.0,16
"2017-04-07T08:45:37",9899.0,9900.0,9899.0,9900.0,34
"2017-04-07T08:45:38",9899.0,9899.0,9899.0,9899.0,2
"2017-04-07T08:45:39",9900.0,9900.0,9900.0,9900.0,4
"2017-04-07T08:45:40",9900.0,9900.0,9900.0,9900.0,4
"2017-04-07T08:45:41",9899.0,9900.0,9899.0,9899.0,10
"2017-04-07T08:45:42",9899.0,9900.0,9899.0,9899.0,14
"2017-04-07T08:45:43",9899.0,9899.0,9898.0,9898.0,30
"2017-04-07T08:45:44",9898.0,9899.0,9898.0,9899.0,46
"2017-04-07T08:45:45",9898.0,9898.0,9898.0,9898.0,2
"2017-04-07T08:45:46",9897.0,9897.0,9897.0,9897.0,4
"2017-04-07T08:45:47",9898.0,9898.0,9898.0,9898.0,10
"2017-04-07T08:45:48",9898.0,9898.0,9897.0,9897.0,8
"2017-04-07T08:45:49",9897.0,9898.0,9897.0,9897.0,36
"2017-04-07T08:45:50",9897.0,9898.0,9897.0,9898.0,10
"2017-04-07T08:45:51",9898.0,9898.0,9898.0,9898.0,4
"2017-04-07T08:45:52",9897.0,9897.0,9897.0,9897.0,2
"2017-04-07T08:45:53",9898.0,9898.0,9898.0,9898.0,8
"2017-04-07T08:45:54",9898.0,9898.0,9898.0,9898.0,14
"2017-04-07T08:45:55",9899.0,9899.0,9898.0,9898.0,8
"2017-04-07T08:45:56",9898.0,9898.0,9897.0,9897.0,12
"2017-04-07T08:45:57",9898.0,9898.0,9898.0,9898.0,2
"2017-04-07T08:45:58",9898.0,9898.0,9898.0,9898.0,0
"2017-04-07T08:45:59",9898.0,9898.0,9897.0,9897.0,4
"2017-04-07T08:46:00",9897.0,9897.0,9896.0,9896.0,102
"2017-04-07T08:46:01",9896.0,9896.0,9895.0,9895.0,116
"2017-04-07T08:46:02",9895.0,9896.0,9895.0,9895.0,16
"2017-04-07T08:46:03",9896.0,9896.0,9895.0,9896.0,40
"2017-04-07T08:46:04",9895.0,9895.0,9895.0,9895.0,2
"2017-04-07T08:46:05",9895.0,9895.0,9895.0,9895.0,6
"2017-04-07T08:46:06",9895.0,9897.0,9895.0,9896.0,30
"2017-04-07T08:46:07",9896.0,9896.0,9896.0,9896.0,6
"2017-04-07T08:46:08",9896.0,9896.0,9895.0,9895.0,8
"2017-04-07T08:46:09",9895.0,9895.0,9895.0,9895.0,0
"2017-04-07T08:46:10",9897.0,9897.0,9895.0,9895.0,4
"2017-04-07T08:46:11",9895.0,9896.0,9895.0,9895.0,86
"2017-04-07T08:46:12",9895.0,9895.0,9895.0,9895.0,36
"2017-04-07T08:46:13",9895.0,9895.0,9895.0,9895.0,2
"2017-04-07T08:46:14",9895.0,9895.0,9895.0,9895.0,0
"2017-04-07T08:46:15",9895.0,9896.0,9895.0,9895.0,10
"2017-04-07T08:46:16",9895.0,9895.0,9895.0,9895.0,50
"2017-04-07T08:46:17",9895.0,9895.0,9894.0,9894.0,6
"2017-04-07T08:46:18",9895.0,9895.0,9894.0,9894.0,10
"2017-04-07T08:46:19",9894.0,9895.0,9894.0,9894.0,14
"2017-04-07T08:46:20",9894.0,9895.0,9894.0,9895.0,24
"2017-04-07T08:46:21",9894.0,9895.0,9893.0,9894.0,36
"2017-04-07T08:46:22",9894.0,9894.0,9894.0,9894.0,10
"2017-04-07T08:46:23",9894.0,9894.0,9894.0,9894.0,32
"2017-04-07T08:46:24",9894.0,9895.0,9894.0,9895.0,8
